kind,n,algorithm,milliseconds,error
size,256,recursive_alloc,0.017958,0
size,256,iterative_recurrence,0.002583,0
size,256,precomputed_roots,0.001459,0
size,256,planned,0.001167,0
error,256,iterative_recurrence,0,1.0473823066688541e-14
error,256,planned,0,6.2063353831181828e-16
size,512,recursive_alloc,0.034750,0
size,512,iterative_recurrence,0.005542,0
size,512,precomputed_roots,0.002750,0
size,512,planned,0.002500,0
error,512,iterative_recurrence,0,1.4605236018374344e-14
error,512,planned,0,8.4552066524511512e-16
size,1024,recursive_alloc,0.071084,0
size,1024,iterative_recurrence,0.010250,0
size,1024,precomputed_roots,0.005250,0
size,1024,planned,0.004667,0
error,1024,iterative_recurrence,0,4.1010682776984892e-14
error,1024,planned,0,1.0235750533041806e-15
size,2048,recursive_alloc,0.127667,0
size,2048,iterative_recurrence,0.023375,0
size,2048,precomputed_roots,0.011083,0
size,2048,planned,0.010042,0
error,2048,iterative_recurrence,0,3.7947059185389429e-14
error,2048,planned,0,8.671119018262734e-16
size,4096,recursive_alloc,0.271458,0
size,4096,iterative_recurrence,0.056333,0
size,4096,precomputed_roots,0.025292,0
size,4096,planned,0.022000,0
error,4096,iterative_recurrence,0,1.5179684421904073e-13
error,4096,planned,0,1.1102230246251565e-15
size,8192,recursive_alloc,0.585417,0
size,8192,iterative_recurrence,0.122750,0
size,8192,precomputed_roots,0.053875,0
size,8192,planned,0.054208,0
error,8192,iterative_recurrence,0,1.2167497329901335e-13
error,8192,planned,0,1.2262814116578437e-15
size,16384,recursive_alloc,1.266375,0
size,16384,iterative_recurrence,0.268667,0
size,16384,precomputed_roots,0.134708,0
size,16384,planned,0.125708,0
error,16384,iterative_recurrence,0,6.6185612023830598e-13
error,16384,planned,0,1.2174545926647189e-15
size,32768,recursive_alloc,2.642834,0
size,32768,iterative_recurrence,0.602583,0
size,32768,precomputed_roots,0.309458,0
size,32768,planned,0.311458,0
error,32768,iterative_recurrence,0,1.8391863481001623e-12
error,32768,planned,0,1.4475537224895361e-15
size,65536,recursive_alloc,5.595000,0
size,65536,iterative_recurrence,1.242916,0
size,65536,precomputed_roots,0.701792,0
size,65536,planned,0.690959,0
error,65536,iterative_recurrence,0,2.8702845013798818e-12
error,65536,planned,0,1.4043333874306805e-15
size,131072,recursive_alloc,10.690584,0
size,131072,iterative_recurrence,2.860500,0
size,131072,precomputed_roots,1.610916,0
size,131072,planned,1.590125,0
error,131072,iterative_recurrence,0,6.5658155319378766e-12
error,131072,planned,0,1.7342238036525468e-15
size,262144,recursive_alloc,23.004042,0
size,262144,iterative_recurrence,5.795667,0
size,262144,precomputed_roots,3.227208,0
size,262144,planned,3.296792,0
error,262144,iterative_recurrence,0,1.1464649546167325e-11
error,262144,planned,0,1.7901808365247238e-15
size,524288,recursive_alloc,45.626875,0
size,524288,iterative_recurrence,12.394208,0
size,524288,precomputed_roots,7.009542,0
size,524288,planned,7.424875,0
error,524288,iterative_recurrence,0,2.6050717215665163e-11
error,524288,planned,0,1.7554167342883505e-15
size,1048576,recursive_alloc,97.817167,0
size,1048576,iterative_recurrence,25.760500,0
size,1048576,precomputed_roots,15.037000,0
size,1048576,planned,15.052084,0
error,1048576,iterative_recurrence,0,5.2380112957526536e-11
error,1048576,planned,0,1.9428902930940239e-15
