kind,variant,count,working_set_bytes,value
parse,strtod-copy,1048576,23068672,12.599
parse,strtod-direct,1048576,23068672,12.5631
parse,scalar-exact,1048576,23068672,2.38001
parse,neon-exact,1048576,23068672,1.12947
parse,reciprocal-approx,1048576,23068672,2.28818
format,snprintf,1048576,22020096,126.359
format,div10-fixed,1048576,22020096,3.7365
format,pairs-fixed,1048576,22020096,1.86018
parse-size,scalar-exact,256,5632,2.38804
parse-size,neon-exact,256,5632,1.13761
parse-size,scalar-exact,512,11264,2.36634
parse-size,neon-exact,512,11264,1.14195
parse-size,scalar-exact,1024,22528,2.37588
parse-size,neon-exact,1024,22528,1.14481
parse-size,scalar-exact,2048,45056,2.40048
parse-size,neon-exact,2048,45056,1.1495
parse-size,scalar-exact,4096,90112,2.37413
parse-size,neon-exact,4096,90112,1.14234
parse-size,scalar-exact,8192,180224,2.38462
parse-size,neon-exact,8192,180224,1.14556
parse-size,scalar-exact,16384,360448,2.38279
parse-size,neon-exact,16384,360448,1.14568
parse-size,scalar-exact,32768,720896,2.37608
parse-size,neon-exact,32768,720896,1.14854
parse-size,scalar-exact,65536,1441792,2.38895
parse-size,neon-exact,65536,1441792,1.14306
parse-size,scalar-exact,131072,2883584,2.39464
parse-size,neon-exact,131072,2883584,1.1454
parse-size,scalar-exact,262144,5767168,2.40835
parse-size,neon-exact,262144,5767168,1.13988
parse-size,scalar-exact,524288,11534336,2.37358
parse-size,neon-exact,524288,11534336,1.14497
parse-size,scalar-exact,1048576,23068672,2.35991
parse-size,neon-exact,1048576,23068672,1.1367
correctness,reciprocal-mismatch-count,1048576,0,317641
correctness,total-values,1048576,0,1048576
