kind,n,distribution,algorithm,milliseconds
headline,1048576,random,std_sort,43.008959
headline,1048576,random,radix8_alloc,3.456125
headline,1048576,random,radix8_reuse,3.300125
headline,1048576,random,radix11,2.465250
headline,1048576,random,radix8_precount,3.058417
phase,4194304,count,radix11,3.536250
phase,4194304,prefix,radix11,0.001667
phase,4194304,scatter,radix11,7.333166
size,1024,random,std_sort,0.006583
size,1024,random,radix8_reuse,0.002875
size,1024,random,radix11,0.003458
size,1024,random,radix8_precount,0.002333
size,2048,random,std_sort,0.015584
size,2048,random,radix8_reuse,0.005083
size,2048,random,radix11,0.005125
size,2048,random,radix8_precount,0.004291
size,4096,random,std_sort,0.056333
size,4096,random,radix8_reuse,0.009958
size,4096,random,radix11,0.008708
size,4096,random,radix8_precount,0.008375
size,8192,random,std_sort,0.191833
size,8192,random,radix8_reuse,0.019375
size,8192,random,radix11,0.015709
size,8192,random,radix8_precount,0.016333
size,16384,random,std_sort,0.474500
size,16384,random,radix8_reuse,0.040167
size,16384,random,radix11,0.034458
size,16384,random,radix8_precount,0.040708
size,32768,random,std_sort,1.015542
size,32768,random,radix8_reuse,0.089459
size,32768,random,radix11,0.074000
size,32768,random,radix8_precount,0.074375
size,65536,random,std_sort,2.303917
size,65536,random,radix8_reuse,0.179708
size,65536,random,radix11,0.147542
size,65536,random,radix8_precount,0.147125
size,131072,random,std_sort,4.586084
size,131072,random,radix8_reuse,0.358333
size,131072,random,radix11,0.285167
size,131072,random,radix8_precount,0.308042
size,262144,random,std_sort,9.805708
size,262144,random,radix8_reuse,0.721125
size,262144,random,radix11,0.588959
size,262144,random,radix8_precount,0.626500
size,524288,random,std_sort,20.862625
size,524288,random,radix8_reuse,1.460834
size,524288,random,radix11,1.172500
size,524288,random,radix8_precount,1.276500
size,1048576,random,std_sort,43.585125
size,1048576,random,radix8_reuse,3.358709
size,1048576,random,radix11,2.412250
size,1048576,random,radix8_precount,3.227875
size,2097152,random,std_sort,96.262791
size,2097152,random,radix8_reuse,6.704333
size,2097152,random,radix11,5.312792
size,2097152,random,radix8_precount,6.019250
size,4194304,random,std_sort,194.072292
size,4194304,random,radix8_reuse,14.398958
size,4194304,random,radix11,11.128875
size,4194304,random,radix8_precount,12.482375
size,8388608,random,std_sort,407.067167
size,8388608,random,radix8_reuse,28.846000
size,8388608,random,radix11,22.058000
size,8388608,random,radix8_precount,25.139666
distribution,1048576,random,std_sort,43.876166
distribution,1048576,random,radix8_reuse,3.244833
distribution,1048576,random,radix11,2.395917
distribution,1048576,random,radix8_precount,2.978458
distribution,1048576,sorted,std_sort,0.789792
distribution,1048576,sorted,radix8_reuse,3.268417
distribution,1048576,sorted,radix11,2.406375
distribution,1048576,sorted,radix8_precount,4.104667
distribution,1048576,reverse,std_sort,0.995125
distribution,1048576,reverse,radix8_reuse,3.335875
distribution,1048576,reverse,radix11,2.418875
distribution,1048576,reverse,radix8_precount,4.142750
distribution,1048576,low8,std_sort,18.769959
distribution,1048576,low8,radix8_reuse,8.398834
distribution,1048576,low8,radix11,5.621833
distribution,1048576,low8,radix8_precount,4.917958
distribution,1048576,nearly_sorted,std_sort,6.184542
distribution,1048576,nearly_sorted,radix8_reuse,3.216250
distribution,1048576,nearly_sorted,radix11,2.386542
distribution,1048576,nearly_sorted,radix8_precount,4.097375
width,1048576,4,radix_width,8.945833
width,1048576,8,radix_width,3.478708
width,1048576,10,radix_width,4.021542
width,1048576,11,radix_width,2.397042
width,1048576,12,radix_width,2.713000
width,1048576,16,radix_width,3.904667
