kind,suite,size,pattern,variant,ns_per_byte,candidates_per_kib,fallbacks
workload,random-absent,1048576,16,naive,1.57273,1023.99,0
workload,random-absent,1048576,16,first-byte-neon,0.0629127,4.06055,0
workload,random-absent,1048576,16,two-byte-neon,0.0763586,0.0234375,0
workload,random-absent,1048576,16,rare-byte-neon,0.0840575,0.0146484,0
workload,random-absent,1048576,16,adaptive-kmp,0.0840973,0.0146484,0
workload,random-absent,1048576,16,kmp,0.5548,0,0
workload,random-absent,1048576,16,std-search,0.285755,0,0
workload,alphabet4-absent,1048576,32,naive,1.27614,1023.97,0
workload,alphabet4-absent,1048576,32,first-byte-neon,0.738929,256.617,0
workload,alphabet4-absent,1048576,32,two-byte-neon,0.516728,63.9082,0
workload,alphabet4-absent,1048576,32,rare-byte-neon,0.54053,64.1494,0
workload,alphabet4-absent,1048576,32,adaptive-kmp,0.500808,64.1494,0
workload,alphabet4-absent,1048576,32,kmp,3.09099,0,0
workload,alphabet4-absent,1048576,32,std-search,1.74627,0,0
workload,match-at-end,1048576,32,naive,1.29885,1023.97,0
workload,match-at-end,1048576,32,first-byte-neon,0.0604639,3.94824,0
workload,match-at-end,1048576,32,two-byte-neon,0.0767608,0.0166016,0
workload,match-at-end,1048576,32,rare-byte-neon,0.0839332,0.015625,0
workload,match-at-end,1048576,32,adaptive-kmp,0.0836402,0.015625,0
workload,match-at-end,1048576,32,kmp,0.536983,0,0
workload,match-at-end,1048576,32,std-search,0.277817,0,0
workload,periodic-middle-miss,262144,129,naive,2.41984,1023.5,0
workload,periodic-middle-miss,262144,129,first-byte-neon,2.69245,1023.5,0
workload,periodic-middle-miss,262144,129,two-byte-neon,2.65427,1023.5,0
workload,periodic-middle-miss,262144,129,rare-byte-neon,0.0840921,0,0
workload,periodic-middle-miss,262144,129,adaptive-kmp,0.0847628,0,0
workload,periodic-middle-miss,262144,129,kmp,0.766526,0,0
workload,periodic-middle-miss,262144,129,std-search,16.8827,0,0
workload,repetitive-window-miss,262144,129,naive,2.68911,1023.5,0
workload,repetitive-window-miss,262144,129,first-byte-neon,2.93261,1015.57,0
workload,repetitive-window-miss,262144,129,two-byte-neon,2.90722,1007.63,0
workload,repetitive-window-miss,262144,129,rare-byte-neon,2.9913,1007.63,0
workload,repetitive-window-miss,262144,129,adaptive-kmp,1.77121,0.125,1
workload,repetitive-window-miss,262144,129,kmp,1.629,0,0
workload,repetitive-window-miss,262144,129,std-search,20.5881,0,0
size,size-sweep,1024,16,naive,1.53771,1009,0
size,size-sweep,1024,16,two-byte-neon,0.0751043,1,0
size,size-sweep,4096,16,naive,1.53014,1020.25,0
size,size-sweep,4096,16,two-byte-neon,0.0767633,0.25,0
size,size-sweep,16384,16,naive,1.54622,1023.06,0
size,size-sweep,16384,16,two-byte-neon,0.0767845,0.125,0
size,size-sweep,131072,16,naive,1.53383,1023.88,0
size,size-sweep,131072,16,two-byte-neon,0.0753875,0.0234375,0
size,size-sweep,1048576,16,naive,1.54795,1023.99,0
size,size-sweep,1048576,16,two-byte-neon,0.0757923,0.0166016,0
size,size-sweep,4194304,16,naive,1.56178,1024,0
size,size-sweep,4194304,16,two-byte-neon,0.0761685,0.0166016,0
size,size-sweep,16777216,16,naive,1.56158,1024,0
size,size-sweep,16777216,16,two-byte-neon,0.0767037,0.0145264,0
size,size-sweep,33554432,16,naive,1.55327,1024,0
size,size-sweep,33554432,16,two-byte-neon,0.0772253,0.0154114,0
size,size-sweep,67108864,16,naive,1.56407,1024,0
size,size-sweep,67108864,16,two-byte-neon,0.0769781,0.0151825,0
