kind,n,algorithm,cutoff,microseconds
size,16,schoolbook,32,0.079280
size,16,karatsuba_alloc,32,0.107025
size,16,karatsuba_workspace,32,0.078967
size,32,schoolbook,32,0.242218
size,32,karatsuba_alloc,32,0.268799
size,32,karatsuba_workspace,32,0.242269
size,64,schoolbook,32,0.920695
size,64,karatsuba_alloc,32,1.083740
size,64,karatsuba_workspace,32,0.752360
size,128,schoolbook,32,3.637531
size,128,karatsuba_alloc,32,3.609375
size,128,karatsuba_workspace,32,2.270508
size,256,schoolbook,32,14.923828
size,256,karatsuba_alloc,32,11.622391
size,256,karatsuba_workspace,32,7.056641
size,512,schoolbook,32,59.476562
size,512,karatsuba_alloc,32,35.041688
size,512,karatsuba_workspace,32,21.088500
size,1024,schoolbook,32,232.322750
size,1024,karatsuba_alloc,32,107.291750
size,1024,karatsuba_workspace,32,63.166750
size,2048,schoolbook,32,920.959000
size,2048,karatsuba_alloc,32,327.084000
size,2048,karatsuba_workspace,32,188.917000
size,4096,schoolbook,32,3720.625000
size,4096,karatsuba_alloc,32,984.584000
size,4096,karatsuba_workspace,32,571.875000
size,8192,schoolbook,32,15143.958000
size,8192,karatsuba_alloc,32,3111.958000
size,8192,karatsuba_workspace,32,1757.375000
cutoff,4096,karatsuba_workspace,1,2745.208000
cutoff,4096,karatsuba_workspace,2,1254.459000
cutoff,4096,karatsuba_workspace,4,1096.584000
cutoff,4096,karatsuba_workspace,8,732.459000
cutoff,4096,karatsuba_workspace,16,586.625000
cutoff,4096,karatsuba_workspace,32,574.875000
cutoff,4096,karatsuba_workspace,64,695.250000
cutoff,4096,karatsuba_workspace,128,895.125000
cutoff,4096,karatsuba_workspace,256,1225.167000
