implementation,containers,per_container,entries,contains_ns,intersection_minput_keys_s,iteration_ns_per_key,bytes_per_key
sorted,8192,32,262144,48.685,288.983,0.035,4.000
chunk_bitmap,8192,32,262144,3.031,203.851,14.340,257.062
adaptive,8192,32,262144,6.421,294.778,0.188,3.812
sorted,1024,256,262144,45.987,272.818,0.048,4.000
chunk_bitmap,1024,256,262144,1.024,1667.052,1.453,33.008
adaptive,1024,256,262144,12.877,247.656,0.113,3.758
sorted,128,2048,262144,45.254,300.595,0.041,4.000
chunk_bitmap,128,2048,262144,0.872,13981.013,0.498,5.001
adaptive,128,2048,262144,18.141,270.635,0.110,3.751
sorted,32,8192,262144,46.121,293.417,0.039,4.000
chunk_bitmap,32,8192,262144,0.830,56679.784,0.520,2.000
adaptive,32,8192,262144,0.804,56169.702,0.497,2.750
sorted,8,32768,262144,45.471,311.721,0.038,4.000
chunk_bitmap,8,32768,262144,0.558,242053.555,0.541,1.250
adaptive,8,32768,262144,0.569,242053.555,0.552,2.000
