phase,implementation,bits,inserted,bits_per_key,false_positive_rate,throughput_ns,serialized_chain_ns
density,independent,16777216,2796202,6.000,0.073953,15.100,20.937
density,double,16777216,2796202,6.000,0.074570,13.201,19.094
density,blocked,16777216,2796202,6.000,0.077273,12.237,17.895
density,independent,16777216,2097152,8.000,0.022677,14.108,19.187
density,double,16777216,2097152,8.000,0.023003,13.252,17.954
density,blocked,16777216,2097152,8.000,0.025190,12.287,15.826
density,independent,16777216,1677721,10.000,0.007980,13.194,17.754
density,double,16777216,1677721,10.000,0.008217,12.743,15.640
density,blocked,16777216,1677721,10.000,0.009770,11.969,14.736
density,independent,16777216,1398101,12.000,0.003180,11.676,15.961
density,double,16777216,1398101,12.000,0.003117,11.575,13.493
density,blocked,16777216,1398101,12.000,0.004303,11.179,12.918
density,independent,16777216,1048576,16.000,0.000637,8.572,12.014
density,double,16777216,1048576,16.000,0.000593,9.216,10.910
density,blocked,16777216,1048576,16.000,0.001317,8.508,10.409
size,independent,131072,13107,10.000,0.008157,10.359,13.197
size,double,131072,13107,10.000,0.008160,10.427,12.183
size,blocked,131072,13107,10.000,0.009787,10.621,12.061
size,independent,1048576,104857,10.000,0.008187,11.050,13.619
size,double,1048576,104857,10.000,0.008167,10.844,11.932
size,blocked,1048576,104857,10.000,0.009620,10.769,12.015
size,independent,8388608,838860,10.000,0.008047,13.331,17.608
size,double,8388608,838860,10.000,0.008363,13.059,15.526
size,blocked,8388608,838860,10.000,0.009570,11.899,14.496
size,independent,67108864,6710886,10.000,0.008190,14.432,19.413
size,double,67108864,6710886,10.000,0.007867,14.212,17.560
size,blocked,67108864,6710886,10.000,0.009463,13.182,16.201
size,independent,134217728,13421772,10.000,0.008447,17.108,23.655
size,double,134217728,13421772,10.000,0.008033,15.920,22.184
size,blocked,134217728,13421772,10.000,0.009470,15.474,21.694
