implementation,entries,capacity,load,throughput_ns,dependent_hit_ns,bytes_per_key
unordered,2048,4096,0.500000,4.310,5.667,40.000
flat_aos,2048,4096,0.500000,7.063,4.928,16.000
flat_soa,2048,4096,0.500000,6.615,5.471,16.000
fingerprint_groups,2048,4096,0.500000,8.915,6.795,18.000
unordered,3072,4096,0.750000,6.187,6.277,34.667
flat_aos,3072,4096,0.750000,10.485,5.509,10.667
flat_soa,3072,4096,0.750000,10.044,5.862,10.667
fingerprint_groups,3072,4096,0.750000,11.190,7.016,12.000
unordered,3584,4096,0.875000,7.336,8.953,33.143
flat_aos,3584,4096,0.875000,16.659,6.415,9.143
flat_soa,3584,4096,0.875000,16.549,6.840,9.143
fingerprint_groups,3584,4096,0.875000,16.714,7.430,10.286
unordered,32768,65536,0.500000,6.026,14.545,40.000
flat_aos,32768,65536,0.500000,8.576,9.404,16.000
flat_soa,32768,65536,0.500000,7.755,9.249,16.000
fingerprint_groups,32768,65536,0.500000,9.071,13.148,18.000
unordered,49152,65536,0.750000,8.487,20.515,34.667
flat_aos,49152,65536,0.750000,13.009,11.380,10.667
flat_soa,49152,65536,0.750000,12.113,12.302,10.667
fingerprint_groups,49152,65536,0.750000,11.524,16.403,12.000
unordered,57344,65536,0.875000,9.562,25.388,33.143
flat_aos,57344,65536,0.875000,20.522,14.130,9.143
flat_soa,57344,65536,0.875000,19.103,14.208,9.143
fingerprint_groups,57344,65536,0.875000,17.639,17.796,10.286
unordered,524288,1048576,0.500000,8.830,49.860,40.000
flat_aos,524288,1048576,0.500000,9.213,15.842,16.000
flat_soa,524288,1048576,0.500000,8.773,15.912,16.000
fingerprint_groups,524288,1048576,0.500000,11.652,20.838,18.000
unordered,786432,1048576,0.750000,13.961,135.775,34.667
flat_aos,786432,1048576,0.750000,14.846,17.421,10.667
flat_soa,786432,1048576,0.750000,13.701,18.812,10.667
fingerprint_groups,786432,1048576,0.750000,14.406,25.197,12.000
unordered,917504,1048576,0.875000,16.838,147.492,33.143
flat_aos,917504,1048576,0.875000,22.140,18.344,9.143
flat_soa,917504,1048576,0.875000,20.959,23.149,9.143
fingerprint_groups,917504,1048576,0.875000,23.437,27.470,10.286
unordered,2097152,4194304,0.500000,14.264,259.488,40.000
flat_aos,2097152,4194304,0.500000,15.359,55.879,16.000
flat_soa,2097152,4194304,0.500000,11.215,57.297,16.000
fingerprint_groups,2097152,4194304,0.500000,16.073,77.368,18.000
unordered,3145728,4194304,0.750000,21.292,297.840,34.667
flat_aos,3145728,4194304,0.750000,25.623,53.208,10.667
flat_soa,3145728,4194304,0.750000,19.091,67.467,10.667
fingerprint_groups,3145728,4194304,0.750000,19.376,86.052,12.000
unordered,3670016,4194304,0.875000,24.338,298.782,33.143
flat_aos,3670016,4194304,0.875000,45.378,63.984,9.143
flat_soa,3670016,4194304,0.875000,36.630,80.215,9.143
fingerprint_groups,3670016,4194304,0.875000,30.883,81.540,10.286
