kind,suite,n,capacity,variant,milliseconds,frontier_ratio
stage,dense-100k,1000,100000,byte-full,1.968917000,5.062250
stage,dense-100k,1000,100000,byte-bounded,1.748250000,5.062250
stage,dense-100k,1000,100000,words-full,0.231208000,5.062250
stage,dense-100k,1000,100000,words-bounded,0.206250000,5.062250
stage,dense-1m,2000,1000000,byte-full,46.270167000,1.010905
stage,dense-1m,2000,1000000,byte-bounded,22.835333000,1.010905
stage,dense-1m,2000,1000000,words-full,4.095375000,1.010905
stage,dense-1m,2000,1000000,words-bounded,2.128166000,1.010905
stage,wide-weights-1m,2000,1000000,byte-full,28.237083000,993.028563
stage,wide-weights-1m,2000,1000000,byte-bounded,28.240292000,993.028563
stage,wide-weights-1m,2000,1000000,words-full,2.134500000,993.028563
stage,wide-weights-1m,2000,1000000,words-bounded,2.140833000,993.028563
stage,sparse-frontier-5m,500,5000000,byte-full,57.709000000,0.050610
stage,sparse-frontier-5m,500,5000000,byte-bounded,1.343167000,0.050610
stage,sparse-frontier-5m,500,5000000,words-full,7.559500000,0.050610
stage,sparse-frontier-5m,500,5000000,words-bounded,0.133291000,0.050610
size,wide-size-sweep,64,1024,byte-bounded,0.000875000,2.160156
size,wide-size-sweep,64,1024,words-bounded,0.000375000,2.160156
size,wide-size-sweep,64,4096,byte-bounded,0.003500000,2.341553
size,wide-size-sweep,64,4096,words-bounded,0.000625000,2.341553
size,wide-size-sweep,64,16384,byte-bounded,0.015333000,2.220154
size,wide-size-sweep,64,16384,words-bounded,0.001792000,2.220154
size,wide-size-sweep,64,65536,byte-bounded,0.064958000,2.265594
size,wide-size-sweep,64,65536,words-bounded,0.007125000,2.265594
size,wide-size-sweep,64,131072,byte-bounded,0.122125000,2.127892
size,wide-size-sweep,64,131072,words-bounded,0.014042000,2.127892
size,wide-size-sweep,64,262144,byte-bounded,0.302167000,2.295692
size,wide-size-sweep,64,262144,words-bounded,0.028209000,2.295692
size,wide-size-sweep,64,1048576,byte-bounded,1.223250000,2.265494
size,wide-size-sweep,64,1048576,words-bounded,0.116584000,2.265494
size,wide-size-sweep,64,4194304,byte-bounded,5.595833000,2.120883
size,wide-size-sweep,64,4194304,words-bounded,0.646833000,2.120883
size,wide-size-sweep,64,16777216,byte-bounded,23.286458000,2.277591
size,wide-size-sweep,64,16777216,words-bounded,2.703208000,2.277591
frontier,constant-weights,512,1000000,words-full,1.059291000,0.009728
frontier,constant-weights,512,1000000,words-bounded,0.008458000,0.009728
frontier,constant-weights,512,1000000,words-full,1.055208000,0.029696
frontier,constant-weights,512,1000000,words-bounded,0.018250000,0.029696
frontier,constant-weights,512,1000000,words-full,1.056541000,0.099840
frontier,constant-weights,512,1000000,words-bounded,0.054709000,0.099840
frontier,constant-weights,512,1000000,words-full,1.058500000,0.299520
frontier,constant-weights,512,1000000,words-bounded,0.161083000,0.299520
frontier,constant-weights,512,1000000,words-full,1.110625000,0.999936
frontier,constant-weights,512,1000000,words-bounded,0.568084000,0.999936
frontier,constant-weights,512,1000000,words-full,1.111250000,2.999808
frontier,constant-weights,512,1000000,words-bounded,0.922958000,2.999808
