algorithm,n,log_n,median_ns,ns_per_butterfly,million_butterflies_per_s,transforms_per_sample
baseline,256,8,2670.48,2.60789,383.452,2000
planned_remainder,256,8,757.458,0.739706,1351.89,2000
planned_shoup,256,8,896.146,0.875143,1142.67,2000
permutation_free,256,8,493.021,0.481466,2076.99,2000
baseline,512,9,5494,2.38455,419.367,2000
planned_remainder,512,9,1543.73,0.670021,1492.49,2000
planned_shoup,512,9,1914.21,0.830819,1203.63,2000
permutation_free,512,9,1068.1,0.463587,2157.09,2000
baseline,1024,10,11933.6,2.33079,429.04,2000
planned_remainder,1024,10,3333.98,0.651168,1535.7,2000
planned_shoup,1024,10,4140.75,0.80874,1236.49,2000
permutation_free,1024,10,2338.65,0.456767,2189.3,2000
baseline,2048,11,25951.7,2.30395,434.037,2000
planned_remainder,2048,11,7316.94,0.649586,1539.44,2000
planned_shoup,2048,11,9033.12,0.801946,1246.97,2000
permutation_free,2048,11,5005.85,0.444412,2250.17,2000
baseline,4096,12,58066.3,2.36273,423.24,1221
planned_remainder,4096,12,15267.8,0.621249,1609.66,1221
planned_shoup,4096,12,19493.1,0.793177,1260.75,1221
permutation_free,4096,12,10675.2,0.434375,2302.16,1221
baseline,8192,13,127563,2.39564,417.425,564
planned_remainder,8192,13,32087.8,0.602611,1659.44,564
planned_shoup,8192,13,41218.2,0.77408,1291.86,564
permutation_free,8192,13,22866.4,0.429431,2328.66,564
baseline,16384,14,278825,2.43116,411.326,262
planned_remainder,16384,14,67720.6,0.590477,1693.55,262
planned_shoup,16384,14,86580.2,0.754919,1324.65,262
permutation_free,16384,14,48891.9,0.426303,2345.75,262
baseline,32768,15,600651,2.44406,409.156,123
planned_remainder,32768,15,143345,0.583273,1714.46,123
planned_shoup,32768,15,183550,0.746867,1338.93,123
permutation_free,32768,15,107089,0.435747,2294.91,123
baseline,65536,16,1.31884e+06,2.5155,397.536,58
planned_remainder,65536,16,339111,0.646804,1546.06,58
planned_shoup,65536,16,418782,0.798764,1251.93,58
permutation_free,65536,16,228249,0.43535,2297,58
baseline,131072,17,2.88888e+06,2.59299,385.655,27
planned_remainder,131072,17,754557,0.677272,1476.51,27
planned_shoup,131072,17,932414,0.836912,1194.87,27
permutation_free,131072,17,479903,0.430749,2321.54,27
baseline,262144,18,6.24803e+06,2.64826,377.607,13
planned_remainder,262144,18,1.6453e+06,0.697371,1433.96,13
planned_shoup,262144,18,2.03969e+06,0.864533,1156.69,13
permutation_free,262144,18,1.02395e+06,0.434006,2304.12,13
baseline,524288,19,1.34886e+07,2.70816,369.254,7
planned_remainder,524288,19,3.59277e+06,0.721334,1386.32,7
planned_shoup,524288,19,4.34207e+06,0.871772,1147.09,7
permutation_free,524288,19,2.13976e+06,0.429606,2327.71,7
baseline,1048576,20,2.90353e+07,2.76902,361.138,3
planned_remainder,1048576,20,7.78807e+06,0.742728,1346.39,3
planned_shoup,1048576,20,9.31494e+06,0.888342,1125.69,3
permutation_free,1048576,20,4.52257e+06,0.431306,2318.54,3
