kind,n,algorithm,segment,milliseconds,base_ms,clear_ms,mark_ms,count_ms,segments,prime_visits,division_mode_start_divisions,stores
size,65536,full_bytes,131072,0.036083,,,,,,,,
size,65536,odd_bytes,131072,0.014500,,,,,,,,
size,65536,segmented_divide,131072,0.016083,,,,,,,,
size,65536,segmented_carry,131072,0.015583,,,,,,,,
size,131072,full_bytes,131072,0.078042,,,,,,,,
size,131072,odd_bytes,131072,0.030292,,,,,,,,
size,131072,segmented_divide,131072,0.032958,,,,,,,,
size,131072,segmented_carry,131072,0.036041,,,,,,,,
size,262144,full_bytes,131072,0.190000,,,,,,,,
size,262144,odd_bytes,131072,0.062042,,,,,,,,
size,262144,segmented_divide,131072,0.075250,,,,,,,,
size,262144,segmented_carry,131072,0.073875,,,,,,,,
size,524288,full_bytes,131072,0.431750,,,,,,,,
size,524288,odd_bytes,131072,0.174333,,,,,,,,
size,524288,segmented_divide,131072,0.152375,,,,,,,,
size,524288,segmented_carry,131072,0.161125,,,,,,,,
size,1048576,full_bytes,131072,0.939084,,,,,,,,
size,1048576,odd_bytes,131072,0.394792,,,,,,,,
size,1048576,segmented_divide,131072,0.325416,,,,,,,,
size,1048576,segmented_carry,131072,0.334125,,,,,,,,
size,2097152,full_bytes,131072,2.103917,,,,,,,,
size,2097152,odd_bytes,131072,0.911875,,,,,,,,
size,2097152,segmented_divide,131072,0.675583,,,,,,,,
size,2097152,segmented_carry,131072,0.689250,,,,,,,,
size,4194304,full_bytes,131072,4.306458,,,,,,,,
size,4194304,odd_bytes,131072,1.886667,,,,,,,,
size,4194304,segmented_divide,131072,1.368000,,,,,,,,
size,4194304,segmented_carry,131072,1.394167,,,,,,,,
size,8388608,full_bytes,131072,8.889666,,,,,,,,
size,8388608,odd_bytes,131072,3.690291,,,,,,,,
size,8388608,segmented_divide,131072,2.788500,,,,,,,,
size,8388608,segmented_carry,131072,2.795083,,,,,,,,
size,16777216,full_bytes,131072,18.286833,,,,,,,,
size,16777216,odd_bytes,131072,7.888959,,,,,,,,
size,16777216,segmented_divide,131072,5.793500,,,,,,,,
size,16777216,segmented_carry,131072,5.692167,,,,,,,,
size,33554432,full_bytes,131072,48.091500,,,,,,,,
size,33554432,odd_bytes,131072,16.478250,,,,,,,,
size,33554432,segmented_divide,131072,12.131500,,,,,,,,
size,33554432,segmented_carry,131072,12.070750,,,,,,,,
size,67108864,full_bytes,131072,159.542917,,,,,,,,
size,67108864,odd_bytes,131072,49.876375,,,,,,,,
size,67108864,segmented_divide,131072,24.893625,,,,,,,,
size,67108864,segmented_carry,131072,24.096250,,,,,,,,
size,134217728,full_bytes,131072,395.484458,,,,,,,,
size,134217728,odd_bytes,131072,153.839875,,,,,,,,
size,134217728,segmented_divide,131072,51.671208,,,,,,,,
size,134217728,segmented_carry,131072,49.527958,,,,,,,,
segment,134217728,segmented_carry,1024,174.143000,,,,,,,,
segment,134217728,segmented_carry,2048,120.746417,,,,,,,,
segment,134217728,segmented_carry,4096,82.486584,,,,,,,,
segment,134217728,segmented_carry,8192,64.124208,,,,,,,,
segment,134217728,segmented_carry,16384,56.900250,,,,,,,,
segment,134217728,segmented_carry,32768,52.307125,,,,,,,,
segment,134217728,segmented_carry,65536,50.775917,,,,,,,,
segment,134217728,segmented_carry,131072,49.114333,,,,,,,,
segment,134217728,segmented_carry,262144,59.939625,,,,,,,,
segment,134217728,segmented_carry,524288,66.984542,,,,,,,,
segment,134217728,segmented_carry,1048576,71.012458,,,,,,,,
segment,134217728,segmented_carry,2097152,72.089000,,,,,,,,
segment,134217728,segmented_carry,4194304,72.361375,,,,,,,,
segment,134217728,segmented_carry,8388608,72.121375,,,,,,,,
segment,134217728,segmented_carry,16777216,72.961667,,,,,,,,
profile,134217728,segmented_carry,131072,,0.007083,0.763585,39.193501,8.450844,512,497411,497411,130353348
