kind,suite,size,count,variant,ns_per_value,ns_per_byte
workload,uniform-numeric,9320340,1048576,scalar-horner,12.7526,1.43472
workload,uniform-numeric,9320340,1048576,serial-neon,6.42673,0.723033
workload,uniform-numeric,9320340,1048576,four-stream-scalar,3.75643,0.422614
workload,uniform-numeric,9320340,1048576,four-stream-neon,3.87186,0.4356
workload,uniform-numeric,9320340,1048576,std-from-chars,6.7134,0.755285
workload,fixed-8-digit,9437184,1048576,scalar-horner,13.0034,1.44482
workload,fixed-8-digit,9437184,1048576,serial-neon,3.87924,0.431027
workload,fixed-8-digit,9437184,1048576,four-stream-scalar,3.78691,0.420768
workload,fixed-8-digit,9437184,1048576,four-stream-neon,3.98335,0.442595
workload,fixed-8-digit,9437184,1048576,std-from-chars,6.14401,0.682667
workload,uniform-digits,5767168,1048576,scalar-horner,7.94884,1.44524
workload,uniform-digits,5767168,1048576,serial-neon,6.32048,1.14918
workload,uniform-digits,5767168,1048576,four-stream-scalar,2.30491,0.419075
workload,uniform-digits,5767168,1048576,four-stream-neon,2.42361,0.440657
workload,uniform-digits,5767168,1048576,std-from-chars,5.22198,0.949451
size,fixed-8-digit,1152,128,scalar-horner,12.5586,1.3954
size,fixed-8-digit,1152,128,four-stream-scalar,3.76019,0.417799
size,fixed-8-digit,4608,512,scalar-horner,13.0696,1.45218
size,fixed-8-digit,4608,512,four-stream-scalar,3.75705,0.41745
size,fixed-8-digit,18432,2048,scalar-horner,12.817,1.42411
size,fixed-8-digit,18432,2048,four-stream-scalar,3.77383,0.419315
size,fixed-8-digit,147456,16384,scalar-horner,12.8919,1.43244
size,fixed-8-digit,147456,16384,four-stream-scalar,3.80177,0.422419
size,fixed-8-digit,1179648,131072,scalar-horner,12.9431,1.43812
size,fixed-8-digit,1179648,131072,four-stream-scalar,3.75004,0.416671
size,fixed-8-digit,4718592,524288,scalar-horner,13.0091,1.44546
size,fixed-8-digit,4718592,524288,four-stream-scalar,3.75133,0.416815
size,fixed-8-digit,18874368,2097152,scalar-horner,13.0137,1.44596
size,fixed-8-digit,18874368,2097152,four-stream-scalar,3.81177,0.42353
size,fixed-8-digit,37748736,4194304,scalar-horner,12.9356,1.43728
size,fixed-8-digit,37748736,4194304,four-stream-scalar,3.76674,0.418526
size,fixed-8-digit,75497472,8388608,scalar-horner,13.0016,1.44462
size,fixed-8-digit,75497472,8388608,four-stream-scalar,3.81069,0.42341
