implementation,n,length,query_ns,build_ms,bytes_per_element
scan,4096,13,3.883,0.001,4.000
segment,4096,13,10.600,0.004,8.000
sparse,4096,13,0.588,0.014,52.000
blocked_scan,4096,13,6.161,0.008,4.500
blocked_prefix,4096,13,4.616,0.004,12.500
scan,4096,97,2.574,0.000,4.000
segment,4096,97,17.804,0.002,8.000
sparse,4096,97,0.582,0.005,52.000
blocked_scan,4096,97,16.345,0.008,4.500
blocked_prefix,4096,97,3.659,0.003,12.500
scan,4096,1001,27.186,0.000,4.000
segment,4096,1001,26.892,0.002,8.000
sparse,4096,1001,0.564,0.005,52.000
blocked_scan,4096,1001,15.828,0.008,4.500
blocked_prefix,4096,1001,1.041,0.003,12.500
scan,4096,1537,41.528,0.000,4.000
segment,4096,1537,29.362,0.002,8.000
sparse,4096,1537,0.608,0.013,52.000
blocked_scan,4096,1537,15.921,0.007,4.500
blocked_prefix,4096,1537,1.050,0.003,12.500
scan,65536,13,4.198,0.011,4.000
segment,65536,13,10.666,0.043,8.000
sparse,65536,13,0.699,0.272,68.000
blocked_scan,65536,13,6.744,0.121,4.750
blocked_prefix,65536,13,4.985,0.064,12.750
scan,65536,97,4.651,0.004,4.000
segment,65536,97,18.082,0.025,8.000
sparse,65536,97,0.933,0.276,68.000
blocked_scan,65536,97,16.459,0.133,4.750
blocked_prefix,65536,97,3.705,0.064,12.750
scan,65536,1001,40.560,0.004,4.000
segment,65536,1001,27.056,0.040,8.000
sparse,65536,1001,0.772,0.253,68.000
blocked_scan,65536,1001,15.994,0.122,4.750
blocked_prefix,65536,1001,1.246,0.060,12.750
scan,65536,24577,874.020,0.004,4.000
segment,65536,24577,30.375,0.025,8.000
sparse,65536,24577,0.688,0.236,68.000
blocked_scan,65536,24577,9.979,0.124,4.750
blocked_prefix,65536,24577,1.292,0.059,12.750
scan,262144,13,4.456,0.043,4.000
segment,262144,13,10.900,0.166,8.000
sparse,262144,13,0.856,1.221,76.000
blocked_scan,262144,13,6.917,0.497,4.875
blocked_prefix,262144,13,5.120,0.241,12.875
scan,262144,97,5.813,0.016,4.000
segment,262144,97,18.180,0.177,8.000
sparse,262144,97,1.127,0.493,76.000
blocked_scan,262144,97,16.735,0.538,4.875
blocked_prefix,262144,97,3.709,0.252,12.875
scan,262144,1001,50.229,0.014,4.000
segment,262144,1001,27.512,0.189,8.000
sparse,262144,1001,1.039,0.471,76.000
blocked_scan,262144,1001,17.374,0.508,4.875
blocked_prefix,262144,1001,1.268,0.272,12.875
scan,262144,98305,3809.229,0.014,4.000
segment,262144,98305,35.125,0.174,8.000
sparse,262144,98305,0.875,0.487,76.000
blocked_scan,262144,98305,11.000,0.530,4.875
blocked_prefix,262144,98305,1.375,0.246,12.875
scan,1048576,13,5.034,0.202,4.000
segment,1048576,13,11.074,0.720,8.000
sparse,1048576,13,0.938,6.314,84.000
blocked_scan,1048576,13,7.552,2.093,5.000
blocked_prefix,1048576,13,5.811,1.117,13.000
scan,1048576,97,6.360,0.190,4.000
segment,1048576,97,18.387,0.709,8.000
sparse,1048576,97,1.240,5.265,84.000
blocked_scan,1048576,97,17.309,2.090,5.000
blocked_prefix,1048576,97,3.716,1.137,13.000
scan,1048576,1001,53.707,0.177,4.000
segment,1048576,1001,28.038,0.690,8.000
sparse,1048576,1001,1.100,5.203,84.000
blocked_scan,1048576,1001,17.538,2.059,5.000
blocked_prefix,1048576,1001,1.698,1.154,13.000
scan,1048576,393217,15183.375,0.197,4.000
segment,1048576,393217,40.917,0.728,8.000
sparse,1048576,393217,1.062,5.396,84.000
blocked_scan,1048576,393217,13.729,2.193,5.000
blocked_prefix,1048576,393217,1.521,1.095,13.000
