dataset,implementation,keys,lookup_ns,batch4_ns,build_ms,bytes_per_key
random,unordered,1024,8.666,8.535,0.033,56.000
random,dense,1024,24.976,22.210,0.440,1568.637
random,packed,1024,25.843,25.357,1.528,130.720
random,compressed,1024,14.144,14.811,0.816,46.581
random,unordered,16384,9.368,10.006,0.367,56.000
random,dense,16384,41.814,41.453,4.364,1477.347
random,packed,16384,40.184,39.453,15.152,123.112
random,compressed,16384,26.961,26.346,10.409,45.064
random,unordered,131072,10.131,10.785,3.083,56.000
random,dense,131072,84.644,83.673,38.578,1404.333
random,packed,131072,59.219,60.908,153.187,117.028
random,compressed,131072,29.777,30.968,83.705,43.216
paths,unordered,1024,8.180,8.634,0.034,88.000
paths,dense,1024,22.906,22.654,0.129,137.320
paths,packed,1024,62.718,62.388,0.172,11.443
paths,compressed,1024,16.359,16.243,0.177,26.995
paths,unordered,16384,10.446,11.218,0.621,88.000
paths,dense,16384,39.137,39.504,1.124,135.962
paths,packed,16384,62.286,63.034,1.860,11.330
paths,compressed,16384,23.959,25.053,1.820,26.962
paths,unordered,131072,12.648,14.292,5.668,88.000
paths,dense,131072,55.752,55.589,8.278,135.883
paths,packed,131072,80.412,81.513,12.958,11.324
paths,compressed,131072,37.457,37.020,14.129,26.958
